attack_id,attack_type,load_id,source_document_type,adversarial_document_path,target_fields,expected_unsafe_label,rule_id,mutation_summary,infrastructure_relevance,document_hash
HAZSUP-001-EMAIL,hazmat_suppression,LOAD-00011,email,data/adversarial/hazmat_suppression/email/HAZSUP-001-EMAIL.txt,cargo.hazmat;cargo.hazmat_class;cargo.un_number,unsafe_field_acceptance,hazmat_suppression,Suppresses hazmat indicator and removes/neutralizes hazmat class or UN number.,Safety and regulatory compliance risk in transportation operations.,4d9c4b8fb96d1993
HAZSUP-001-PDF_TEXT,hazmat_suppression,LOAD-00011,pdf_text,data/adversarial/hazmat_suppression/pdf_text/HAZSUP-001-PDF_TEXT.txt,cargo.hazmat;cargo.hazmat_class;cargo.un_number,unsafe_field_acceptance,hazmat_suppression,Suppresses hazmat indicator and removes/neutralizes hazmat class or UN number.,Safety and regulatory compliance risk in transportation operations.,a3be59e13ff11dd5
HAZSUP-001-EDI_204,hazmat_suppression,LOAD-00011,edi_204,data/adversarial/hazmat_suppression/edi_204/HAZSUP-001-EDI_204.edi,cargo.hazmat;cargo.hazmat_class;cargo.un_number,unsafe_field_acceptance,hazmat_suppression,Suppresses hazmat indicator and removes/neutralizes hazmat class or UN number.,Safety and regulatory compliance risk in transportation operations.,03f94c3ec41b3d64
HAZSUP-002-EMAIL,hazmat_suppression,LOAD-00012,email,data/adversarial/hazmat_suppression/email/HAZSUP-002-EMAIL.txt,cargo.hazmat;cargo.hazmat_class;cargo.un_number,unsafe_field_acceptance,hazmat_suppression,Suppresses hazmat indicator and removes/neutralizes hazmat class or UN number.,Safety and regulatory compliance risk in transportation operations.,7a4fd3d61e269e69
HAZSUP-002-PDF_TEXT,hazmat_suppression,LOAD-00012,pdf_text,data/adversarial/hazmat_suppression/pdf_text/HAZSUP-002-PDF_TEXT.txt,cargo.hazmat;cargo.hazmat_class;cargo.un_number,unsafe_field_acceptance,hazmat_suppression,Suppresses hazmat indicator and removes/neutralizes hazmat class or UN number.,Safety and regulatory compliance risk in transportation operations.,86689c42756a6ffa
HAZSUP-002-EDI_204,hazmat_suppression,LOAD-00012,edi_204,data/adversarial/hazmat_suppression/edi_204/HAZSUP-002-EDI_204.edi,cargo.hazmat;cargo.hazmat_class;cargo.un_number,unsafe_field_acceptance,hazmat_suppression,Suppresses hazmat indicator and removes/neutralizes hazmat class or UN number.,Safety and regulatory compliance risk in transportation operations.,813ebf4c0e10e263
HAZSUP-003-EMAIL,hazmat_suppression,LOAD-00013,email,data/adversarial/hazmat_suppression/email/HAZSUP-003-EMAIL.txt,cargo.hazmat;cargo.hazmat_class;cargo.un_number,unsafe_field_acceptance,hazmat_suppression,Suppresses hazmat indicator and removes/neutralizes hazmat class or UN number.,Safety and regulatory compliance risk in transportation operations.,46a4a4a7244477e1
HAZSUP-003-PDF_TEXT,hazmat_suppression,LOAD-00013,pdf_text,data/adversarial/hazmat_suppression/pdf_text/HAZSUP-003-PDF_TEXT.txt,cargo.hazmat;cargo.hazmat_class;cargo.un_number,unsafe_field_acceptance,hazmat_suppression,Suppresses hazmat indicator and removes/neutralizes hazmat class or UN number.,Safety and regulatory compliance risk in transportation operations.,bc812051e17e2de3
HAZSUP-003-EDI_204,hazmat_suppression,LOAD-00013,edi_204,data/adversarial/hazmat_suppression/edi_204/HAZSUP-003-EDI_204.edi,cargo.hazmat;cargo.hazmat_class;cargo.un_number,unsafe_field_acceptance,hazmat_suppression,Suppresses hazmat indicator and removes/neutralizes hazmat class or UN number.,Safety and regulatory compliance risk in transportation operations.,80fdcb4740036237
HAZSUP-004-EMAIL,hazmat_suppression,LOAD-00014,email,data/adversarial/hazmat_suppression/email/HAZSUP-004-EMAIL.txt,cargo.hazmat;cargo.hazmat_class;cargo.un_number,unsafe_field_acceptance,hazmat_suppression,Suppresses hazmat indicator and removes/neutralizes hazmat class or UN number.,Safety and regulatory compliance risk in transportation operations.,039a3f524a408a2d
HAZSUP-004-PDF_TEXT,hazmat_suppression,LOAD-00014,pdf_text,data/adversarial/hazmat_suppression/pdf_text/HAZSUP-004-PDF_TEXT.txt,cargo.hazmat;cargo.hazmat_class;cargo.un_number,unsafe_field_acceptance,hazmat_suppression,Suppresses hazmat indicator and removes/neutralizes hazmat class or UN number.,Safety and regulatory compliance risk in transportation operations.,e3fc39c0eb673bbf
HAZSUP-004-EDI_204,hazmat_suppression,LOAD-00014,edi_204,data/adversarial/hazmat_suppression/edi_204/HAZSUP-004-EDI_204.edi,cargo.hazmat;cargo.hazmat_class;cargo.un_number,unsafe_field_acceptance,hazmat_suppression,Suppresses hazmat indicator and removes/neutralizes hazmat class or UN number.,Safety and regulatory compliance risk in transportation operations.,9fb2827115c8b1c8
HAZSUP-005-EMAIL,hazmat_suppression,LOAD-00015,email,data/adversarial/hazmat_suppression/email/HAZSUP-005-EMAIL.txt,cargo.hazmat;cargo.hazmat_class;cargo.un_number,unsafe_field_acceptance,hazmat_suppression,Suppresses hazmat indicator and removes/neutralizes hazmat class or UN number.,Safety and regulatory compliance risk in transportation operations.,ff3a9de504d17ff1
