reference_scenario,attack_type,total,attack_manifested,attack_manifestation_rate,validator_blocked_all,block_rate_all,validator_blocked_manifested,detection_rate_manifested,false_negative,false_negative_rate_manifested,mean_checked_paths
complete_reference,appointment_sabotage,75,75,1.0,75,1.0,75,1.0,0,0.0,1.67
complete_reference,carrier_substitution,50,50,1.0,50,1.0,50,1.0,0,0.0,3.0
complete_reference,dispatch_poisoning,50,6,0.12,6,0.12,6,1.0,0,0.0,4.0
complete_reference,hazmat_suppression,75,71,0.9467,71,0.9467,71,1.0,0,0.0,2.33
complete_reference,status_concealment,50,35,0.7,35,0.7,35,1.0,0,0.0,1.0
missing_target_reference,appointment_sabotage,75,75,1.0,0,0.0,0,0.0,75,1.0,0.0
missing_target_reference,carrier_substitution,50,50,1.0,0,0.0,0,0.0,50,1.0,0.0
missing_target_reference,dispatch_poisoning,50,6,0.12,0,0.0,0,0.0,6,1.0,0.0
missing_target_reference,hazmat_suppression,75,71,0.9467,0,0.0,0,0.0,71,1.0,0.0
missing_target_reference,status_concealment,50,35,0.7,0,0.0,0,0.0,35,1.0,0.0
partial_target_reference,appointment_sabotage,75,75,1.0,75,1.0,75,1.0,0,0.0,1.0
partial_target_reference,carrier_substitution,50,50,1.0,50,1.0,50,1.0,0,0.0,1.0
partial_target_reference,dispatch_poisoning,50,6,0.12,6,0.12,6,1.0,0,0.0,1.0
partial_target_reference,hazmat_suppression,75,71,0.9467,71,0.9467,71,1.0,0,0.0,1.0
partial_target_reference,status_concealment,50,35,0.7,35,0.7,35,1.0,0,0.0,1.0
stale_or_poisoned_target_reference,appointment_sabotage,75,75,1.0,1,0.0133,1,0.0133,74,0.9867,1.67
stale_or_poisoned_target_reference,carrier_substitution,50,50,1.0,0,0.0,0,0.0,50,1.0,3.0
stale_or_poisoned_target_reference,dispatch_poisoning,50,6,0.12,0,0.0,0,0.0,6,1.0,4.0
stale_or_poisoned_target_reference,hazmat_suppression,75,71,0.9467,0,0.0,0,0.0,71,1.0,2.33
stale_or_poisoned_target_reference,status_concealment,50,35,0.7,0,0.0,0,0.0,35,1.0,1.0
