defense,attack_type,total,unsafe,unsafe_rate,safe_blocked,detection_or_block_rate
D0_no_control,hazmat_suppression,15,15,1.0,0,0.0
D0_no_control,appointment_sabotage,15,15,1.0,0,0.0
D0_no_control,dispatch_poisoning,10,10,1.0,0,0.0
D0_no_control,carrier_substitution,10,10,1.0,0,0.0
D0_no_control,status_concealment,10,10,1.0,0,0.0
D1_schema_only,hazmat_suppression,15,15,1.0,0,0.0
D1_schema_only,appointment_sabotage,15,15,1.0,0,0.0
D1_schema_only,dispatch_poisoning,10,10,1.0,0,0.0
D1_schema_only,carrier_substitution,10,10,1.0,0,0.0
D1_schema_only,status_concealment,10,10,1.0,0,0.0
D2_field_validation,hazmat_suppression,15,0,0.0,15,1.0
D2_field_validation,appointment_sabotage,15,0,0.0,15,1.0
D2_field_validation,dispatch_poisoning,10,0,0.0,10,1.0
D2_field_validation,carrier_substitution,10,0,0.0,10,1.0
D2_field_validation,status_concealment,10,0,0.0,10,1.0
D3_manifest_only,hazmat_suppression,15,15,1.0,0,0.0
D3_manifest_only,appointment_sabotage,15,15,1.0,0,0.0
D3_manifest_only,dispatch_poisoning,10,10,1.0,0,0.0
D3_manifest_only,carrier_substitution,10,10,1.0,0,0.0
D3_manifest_only,status_concealment,10,10,1.0,0,0.0
D4_approval_gate,hazmat_suppression,15,0,0.0,15,1.0
D4_approval_gate,appointment_sabotage,15,0,0.0,15,1.0
D4_approval_gate,dispatch_poisoning,10,0,0.0,10,1.0
D4_approval_gate,carrier_substitution,10,0,0.0,10,1.0
D4_approval_gate,status_concealment,10,0,0.0,10,1.0
D5_full_control,hazmat_suppression,15,0,0.0,15,1.0
D5_full_control,appointment_sabotage,15,0,0.0,15,1.0
D5_full_control,dispatch_poisoning,10,0,0.0,10,1.0
D5_full_control,carrier_substitution,10,0,0.0,10,1.0
D5_full_control,status_concealment,10,0,0.0,10,1.0
