model_tier,defense,total,unsafe,unsafe_rate,safe_blocked,detection_or_block_rate,approval_required,approval_burden
frontier_sim,D0_no_control,60,45,0.75,0,0.0,0,0.0
frontier_sim,D1_schema_only,60,45,0.75,0,0.0,0,0.0
frontier_sim,D2_field_validation,60,25,0.4167,20,0.3333,0,0.0
frontier_sim,D3_manifest_only,60,20,0.3333,25,0.4167,0,0.0
frontier_sim,D4_approval_gate,60,0,0.0,60,1.0,60,1.0
frontier_sim,D5_full_control,60,0,0.0,60,1.0,40,0.6667
mid_tier_sim,D0_no_control,60,45,0.75,0,0.0,0,0.0
mid_tier_sim,D1_schema_only,60,45,0.75,0,0.0,0,0.0
mid_tier_sim,D2_field_validation,60,0,0.0,45,0.75,0,0.0
mid_tier_sim,D3_manifest_only,60,45,0.75,0,0.0,0,0.0
mid_tier_sim,D4_approval_gate,60,0,0.0,60,1.0,60,1.0
mid_tier_sim,D5_full_control,60,0,0.0,60,1.0,15,0.25
open_weight_sim,D0_no_control,60,60,1.0,0,0.0,0,0.0
open_weight_sim,D1_schema_only,60,60,1.0,0,0.0,0,0.0
open_weight_sim,D2_field_validation,60,0,0.0,60,1.0,0,0.0
open_weight_sim,D3_manifest_only,60,60,1.0,0,0.0,0,0.0
open_weight_sim,D4_approval_gate,60,0,0.0,60,1.0,60,1.0
open_weight_sim,D5_full_control,60,0,0.0,60,1.0,0,0.0
